CARACTERISTICAS,LON,LAT,COLOR
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8073976,19.21674885,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8057403,19.21705431,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.809973,19.200584,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.80731,19.2143899,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8082145,19.21426025,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8056175,19.21430659,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.812563,19.210624,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.813079,19.208362,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8111305,19.20127416,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.810643,19.201486,
"(LAMPARA DE SODIO DE ALTA PRESION)
(SIN FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.811413,19.21212,COLOR
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.811102,19.204698,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.809962,19.206158,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.809755,19.21006,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.806493,19.208713,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.808377,19.207501,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.807497,19.207157,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.809983,19.20812,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8055159,19.2099235,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8062835,19.20768759,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8037722,19.20904468,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8036638,19.20824881,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8042356,19.20809893,
"(LAMPARA DE SODIO DE ALTA PRESION)
(SIN FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8045973,19.20937536,COLOR
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8036402,19.20493247,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8061284,19.20281621,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8065208,19.2024754,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8054014,19.20207053,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8043582,19.20428657,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.805537,19.20569482,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8044464,19.20524495,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8064597,19.20568276,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8052649,19.205178,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8067764,19.21188347,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8077277,19.21185352,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8101012,19.21511285,
"(LAMPARA DE SODIO DE BAJA PRESION)
(CON PROBLEMAS PARA SU BUEN FUNCIONAMIENTO)
(FOTOCELDA 220V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8084489,19.21341239,COLOR
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8101209,19.21369434,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.809503,19.21233493,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8097215,19.21237249,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8090701,19.21432003,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8094415,19.21425919,
"(LAMPARA DE SODIO DE ALTA PRESION)
(EN TOTAL FUNCIONAMIENTO)
(FOTOCELDA 110V)
(FECHA DE LEVANTAMIENTO 30/SEP/2018)",-103.8077991,19.21382382,
